word_id,word,variants,ja,audio,audio_out
w_monkey,monkey,,猿,monkey.mp3,済
w_chattarbox,chattarbox,,おしゃべりマシーン,chattarbox.mp3,済
w_Who,Who,,誰～？,Who.mp3,済
w_Where,Where,,どこ～？,Where.mp3,済
w_over there,over there,,あそこ,over there.mp3,済
w_awesome,awesome,,すげぇ！,awesome.mp3,済
w_kind,kind,,優しい,kind.mp3,済
w_Japanese,Japanese,,日本人,Japanese.mp3,済
w_happy,happy,,幸せ,happy.mp3,済
w_joke,joke,,ジョーク,joke.mp3,済
w_why,why,,なぜ？,why.mp3,済
w_quiet,quiet,,静か,quiet.mp3,済
w_Disney,Disney,,ディズニー,Disney.mp3,済
w_chair,chair,,いす,chair.mp3,済
w_shoe,shoe,,靴,shoe.mp3,済
w_cute,cute,,かわいい,cute.mp3,済
w_bird,bird,,鳥,bird.mp3,済
w_new,new,,新しい,new.mp3,済
w_hang out,hang out,,遊ぶ,hang out.mp3,済
w_word,word,,言葉,word.mp3,済
w_about,about,,～について、だいたい,about.mp3,済
w_after,after,,～の後,after.mp3,済
w_against,against,,～に対して,against.mp3,済
w_age,age,,年齢,age.mp3,済
w_all,all,,全部,all.mp3,済
w_always,always,,いつも,always.mp3,済
w_app,app,,アプリ,app.mp3,済
w_arrive,arrive,,到着する,arrive.mp3,済
w_ball,ball,,ボール,ball.mp3,済
w_bar,bar,,バー,bar.mp3,済
w_basketball,basketball,,バスケ,basketball.mp3,済
w_beautiful,beautiful,,美しい,beautiful.mp3,済
w_before,before,,～の前に,before.mp3,済
w_beginners,beginners,,初心者,beginners.mp3,済
w_bento,bento,,弁当,bento.mp3,済
w_birthday,birthday,,誕生日,birthday.mp3,済
w_black,black,,黒,black.mp3,済
w_blue,blue,,青,blue.mp3,済
w_boy,boy,,男の子,boy.mp3,済
w_breakfast,breakfast,,朝食,breakfast.mp3,済
w_brother,brother,,兄弟,brother.mp3,済
w_brush,brush,,ブラシ,brush.mp3,済
w_but,but,,でも,but.mp3,済
w_call,call,,呼ぶ、電話する,call.mp3,済
w_camping,camping,,キャンプすること,camping.mp3,済
w_candy,candy,,キャンディー,candy.mp3,済
w_car,car,,車,car.mp3,済
w_children,children,,子供たち,children.mp3,済
w_chopsticks,chopsticks,,箸,chopsticks.mp3,済
w_classics,classics,,クラシック,classics.mp3,済
w_clean,clean,,掃除する,clean.mp3,済
w_clock,clock,,時計,clock.mp3,済
w_cold,cold,,寒い、冷たい,cold.mp3,済
w_color,color,,色,color.mp3,済
w_come,come,,来る,come.mp3,済
w_computer,computer,,コンピューター,computer.mp3,済
w_convenience,convenience,,便利な,convenience.mp3,済
w_cool,cool,,ひんやり、カッコいい,cool.mp3,済
w_course,course,,コース,course.mp3,済
w_cozy,cozy,,快適,cozy.mp3,済
w_crispy,crispy,,サクサク,crispy.mp3,済
w_crowded,crowded,,混んでいる,crowded.mp3,済
w_day,day,,日,day.mp3,済
w_delicious,delicious,,おいしい,delicious.mp3,済
w_dizzy,dizzy,,めまい,dizzy.mp3,済
w_drink,drink,,飲む,drink.mp3,済
w_dude,dude,,マジか！うそやん！,dude.mp3,済
w_early,early,,早い,early.mp3,済
w_egg,egg,,卵,egg.mp3,済
w_end,end,,終わり,end.mp3,済
w_english,english,,英語,english.mp3,済
w_eraser,eraser,,消しゴム,eraser.mp3,済
w_every,every,,毎,every.mp3,済
w_excited,excited,,わくわくさせられる,excited.mp3,済
w_eye,eye,,目,eye.mp3,済
w_fast,fast,,速く,fast.mp3,済
w_father,father,,父,father.mp3,済
w_feel,feel,,感じる,feel.mp3,済
w_field,field,,野,field.mp3,済
w_fireworks,fireworks,,花火,fireworks.mp3,済
w_flower,flower,,花,flower.mp3,済
